sip_id,investor_id,fund_id,sip_amount,sip_date,start_date,frequency,total_instalments_completed,status,last_instalment_date,mandate_amount
SIP000300,INV01014,F010,3000,15,2022-09-01,Monthly,41,Active,2026-01-01,500
SIP000301,INV00620,F010,3000,16,2022-11-01,Quarterly,13,Active,2023-11-01,5000
SIP000302,INV01847,F005,2000,21,2023-09-01,Monthly,24,Active,2025-08-01,10000
SIP000303,INV00103,F007,500,13,2023-05-01,Monthly,16,Paused,2024-08-01,10000
SIP000304,INV00664,F004,2000,26,2023-09-01,Monthly,13,Active,2024-09-01,500
SIP000305,INV00122,F006,5000,27,2025-02-01,Monthly,43,Active,2028-08-01,5000
SIP000306,INV00413,F006,5000,28,2023-12-01,Monthly,24,Active,2025-11-01,10000
SIP000307,INV00389,F004,500,12,2025-05-01,Monthly,9,Active,2026-01-01,2000
SIP000308,INV01086,F001,500,11,2024-04-01,Monthly,16,Active,2025-07-01,10000
SIP000309,INV00009,F005,5000,3,2023-06-01,Monthly,23,Active,2025-04-01,1000
SIP000310,INV00311,F008,1000,20,2024-02-01,Monthly,25,Paused,2026-02-01,10000
SIP000311,INV00648,F009,2000,1,2022-10-01,Weekly,34,Active,2025-07-01,500
SIP000312,INV01477,F008,3000,9,2022-01-01,Monthly,31,Active,2024-07-01,10000
SIP000313,INV00300,F003,2000,22,2024-07-01,Monthly,9,Active,2025-03-01,500
SIP000314,INV01253,F002,500,11,2023-06-01,Quarterly,11,Active,2024-04-01,10000
SIP000315,INV01781,F009,3000,20,2022-09-01,Monthly,18,Active,2024-02-01,5000
SIP000316,INV00323,F007,2000,3,2023-09-01,Monthly,7,Paused,2024-03-01,5000
SIP000317,INV00461,F010,5000,16,2022-02-01,Weekly,3,Active,2022-04-01,500
SIP000318,INV00326,F003,10000,21,2022-10-01,Monthly,33,Active,2025-06-01,5000
SIP000319,INV01588,F004,3000,14,2024-04-01,Monthly,4,Active,2024-07-01,2000
SIP000320,INV01351,F008,1000,13,2024-07-01,Monthly,36,Active,2027-06-01,2000
SIP000321,INV00868,F003,3000,24,2023-06-01,Quarterly,36,Active,2026-05-01,2000
SIP000322,INV01661,F002,5000,17,2022-08-01,Quarterly,9,Paused,2023-04-01,2000
SIP000323,INV01548,F006,500,4,2025-02-01,Monthly,32,Active,2027-09-01,10000
SIP000324,INV00425,F009,5000,5,2022-08-01,Monthly,19,Active,2024-02-01,1000
SIP000325,INV00607,F009,2000,24,2023-10-01,Monthly,13,Active,2024-10-01,2000
SIP000326,INV00304,F005,3000,8,2025-03-01,Monthly,1,Active,2025-03-01,500
SIP000327,INV00820,F001,5000,23,2023-06-01,Monthly,27,Active,2025-08-01,2000
SIP000328,INV00346,F003,500,5,2022-11-01,Quarterly,39,Paused,2026-01-01,10000
SIP000329,INV01830,F002,1000,15,2022-01-01,Quarterly,22,Active,2023-10-01,10000
SIP000330,INV01752,F010,3000,10,2024-11-01,Monthly,1,Active,2024-11-01,500
SIP000331,INV00960,F007,1000,26,2023-07-01,Weekly,9,Active,2024-03-01,500
SIP000332,INV00469,F001,10000,1,2024-08-01,Monthly,38,Cancelled,2027-09-01,2000
SIP000333,INV01499,F007,500,25,2025-01-01,Quarterly,7,Active,2025-07-01,5000
SIP000334,INV00050,F001,1000,13,2022-03-01,Monthly,23,Paused,2024-01-01,1000
SIP000335,INV01263,F004,5000,2,2025-03-01,Monthly,10,Cancelled,2025-12-01,500
SIP000336,INV01248,F001,3000,19,2024-07-01,Quarterly,19,Paused,2026-01-01,500
SIP000337,INV00668,F008,2000,23,2023-12-01,Monthly,36,Active,2026-11-01,1000
SIP000338,INV01624,F006,3000,23,2025-02-01,Monthly,37,Paused,2028-02-01,500
SIP000339,INV01274,F010,500,18,2022-12-01,Monthly,20,Active,2024-07-01,1000
SIP000340,INV01583,F007,10000,15,2022-07-01,Monthly,25,Active,2024-07-01,2000
SIP000341,INV01651,F007,10000,28,2024-03-01,Monthly,42,Active,2027-08-01,5000
SIP000342,INV01573,F004,3000,20,2022-12-01,Quarterly,45,Active,2026-08-01,500
SIP000343,INV01921,F004,500,5,2022-08-01,Quarterly,8,Active,2023-03-01,2000
SIP000344,INV01338,F008,1000,13,2025-02-01,Monthly,7,Paused,2025-08-01,10000
SIP000345,INV01544,F003,500,25,2024-05-01,Monthly,26,Active,2026-06-01,1000
SIP000346,INV00616,F001,5000,7,2023-09-01,Monthly,45,Active,2027-05-01,5000
SIP000347,INV00897,F002,10000,8,2025-03-01,Quarterly,42,Active,2028-08-01,500
SIP000348,INV01515,F007,5000,7,2022-02-01,Monthly,9,Paused,2022-10-01,10000
SIP000349,INV00206,F010,10000,18,2025-05-01,Quarterly,31,Active,2027-11-01,1000
SIP000350,INV00835,F010,2000,18,2025-03-01,Monthly,22,Active,2026-12-01,1000
SIP000351,INV01181,F008,5000,6,2023-04-01,Monthly,9,Active,2023-12-01,2000
SIP000352,INV01615,F009,500,17,2022-06-01,Monthly,13,Active,2023-06-01,5000
SIP000353,INV01489,F002,5000,17,2025-03-01,Monthly,23,Active,2027-01-01,10000
SIP000354,INV01519,F005,3000,5,2024-07-01,Monthly,31,Active,2027-01-01,500
SIP000355,INV00673,F002,5000,3,2024-09-01,Monthly,19,Active,2026-03-01,5000
SIP000356,INV01726,F004,3000,22,2024-07-01,Monthly,16,Cancelled,2025-10-01,500
SIP000357,INV01594,F007,10000,4,2023-05-01,Monthly,34,Active,2026-02-01,500
SIP000358,INV00508,F009,3000,27,2022-05-01,Monthly,26,Active,2024-06-01,2000
SIP000359,INV00383,F005,1000,23,2024-12-01,Monthly,10,Paused,2025-09-01,10000
SIP000360,INV01186,F002,10000,25,2023-07-01,Monthly,1,Active,2023-07-01,2000
SIP000361,INV01081,F009,5000,26,2024-07-01,Monthly,37,Active,2027-07-01,10000
SIP000362,INV00849,F003,5000,20,2024-07-01,Monthly,29,Active,2026-11-01,500
SIP000363,INV00380,F003,3000,5,2023-01-01,Quarterly,48,Active,2026-12-01,10000
SIP000364,INV01554,F008,2000,4,2024-04-01,Monthly,5,Active,2024-08-01,5000
SIP000365,INV00989,F007,500,15,2024-01-01,Weekly,3,Active,2024-03-01,5000
SIP000366,INV00493,F001,5000,8,2023-12-01,Quarterly,3,Paused,2024-02-01,500
SIP000367,INV01378,F005,5000,21,2025-04-01,Monthly,48,Active,2029-03-01,10000
SIP000368,INV01825,F007,1000,24,2022-08-01,Monthly,36,Active,2025-07-01,5000
SIP000369,INV00944,F001,2000,19,2023-05-01,Quarterly,15,Paused,2024-07-01,1000
SIP000370,INV00538,F004,2000,21,2024-10-01,Quarterly,13,Active,2025-10-01,1000
SIP000371,INV01412,F002,3000,19,2023-11-01,Quarterly,29,Active,2026-03-01,1000
SIP000372,INV00067,F006,2000,14,2025-04-01,Monthly,38,Active,2028-05-01,1000
SIP000373,INV01735,F005,2000,18,2022-07-01,Monthly,37,Active,2025-07-01,2000
SIP000374,INV00235,F009,10000,25,2024-06-01,Monthly,5,Cancelled,2024-10-01,5000
SIP000375,INV00546,F007,10000,21,2024-02-01,Quarterly,4,Active,2024-05-01,10000
SIP000376,INV01020,F009,1000,3,2022-11-01,Monthly,38,Cancelled,2025-12-01,500
SIP000377,INV00435,F004,2000,25,2024-11-01,Quarterly,32,Active,2027-06-01,1000
SIP000378,INV00892,F008,1000,25,2022-04-01,Monthly,5,Paused,2022-08-01,1000
SIP000379,INV01245,F010,10000,7,2025-03-01,Quarterly,19,Paused,2026-09-01,1000
SIP000380,INV01631,F002,5000,12,2022-03-01,Monthly,43,Paused,2025-09-01,2000
SIP000381,INV01080,F007,10000,26,2022-08-01,Monthly,12,Active,2023-07-01,2000
SIP000382,INV00337,F004,2000,26,2023-01-01,Quarterly,11,Active,2023-11-01,1000
SIP000383,INV01943,F009,3000,25,2024-02-01,Weekly,2,Cancelled,2024-03-01,1000
SIP000384,INV00459,F002,3000,7,2024-12-01,Quarterly,43,Cancelled,2028-06-01,10000
SIP000385,INV00601,F008,500,9,2022-08-01,Monthly,22,Cancelled,2024-05-01,500
SIP000386,INV01580,F003,1000,4,2025-04-01,Quarterly,38,Active,2028-05-01,2000
SIP000387,INV00223,F010,10000,14,2022-11-01,Monthly,3,Active,2023-01-01,10000
SIP000388,INV01456,F001,500,14,2025-02-01,Monthly,2,Active,2025-03-01,500
SIP000389,INV00824,F009,1000,2,2024-02-01,Monthly,25,Active,2026-02-01,5000
SIP000390,INV00893,F001,3000,19,2022-07-01,Monthly,15,Paused,2023-09-01,2000
SIP000391,INV01685,F002,10000,20,2022-05-01,Monthly,10,Active,2023-02-01,5000
SIP000392,INV00954,F005,3000,3,2024-12-01,Monthly,42,Active,2028-05-01,1000
SIP000393,INV00831,F009,1000,19,2022-02-01,Monthly,17,Active,2023-06-01,10000
SIP000394,INV01108,F005,10000,5,2022-01-01,Monthly,2,Active,2022-02-01,2000
SIP000395,INV01702,F010,5000,22,2024-07-01,Monthly,48,Active,2028-06-01,5000
SIP000396,INV00255,F007,10000,24,2023-12-01,Monthly,8,Active,2024-07-01,10000
SIP000397,INV01511,F003,500,22,2023-03-01,Quarterly,11,Paused,2024-01-01,5000
SIP000398,INV01650,F001,1000,26,2023-10-01,Monthly,37,Active,2026-10-01,500
SIP000399,INV01513,F003,2000,20,2025-05-01,Monthly,16,Active,2026-08-01,1000
SIP000400,INV00801,F003,500,28,2025-02-01,Quarterly,21,Active,2026-10-01,500
SIP000401,INV01999,F008,5000,25,2022-05-01,Quarterly,39,Active,2025-07-01,10000
SIP000402,INV00287,F005,1000,2,2024-03-01,Monthly,1,Active,2024-03-01,500
SIP000403,INV01104,F008,1000,28,2023-06-01,Weekly,1,Active,2023-06-01,10000
SIP000404,INV01546,F008,500,27,2024-02-01,Monthly,45,Active,2027-10-01,2000
SIP000405,INV00966,F010,2000,19,2024-04-01,Monthly,13,Active,2025-04-01,500
SIP000406,INV00458,F004,1000,4,2024-09-01,Monthly,23,Active,2026-07-01,5000
SIP000407,INV00233,F008,2000,20,2023-12-01,Monthly,29,Cancelled,2026-04-01,500
SIP000408,INV00839,F009,2000,5,2022-02-01,Monthly,33,Active,2024-10-01,5000
SIP000409,INV00888,F004,1000,5,2023-06-01,Quarterly,1,Active,2023-06-01,2000
SIP000410,INV01811,F008,500,13,2025-06-01,Monthly,14,Active,2026-07-01,2000
SIP000411,INV00663,F009,2000,18,2024-10-01,Quarterly,1,Active,2024-10-01,5000
SIP000412,INV00579,F010,1000,17,2022-10-01,Monthly,27,Paused,2024-12-01,2000
SIP000413,INV00767,F008,10000,24,2025-01-01,Monthly,31,Paused,2027-07-01,2000
SIP000414,INV01195,F003,500,25,2024-09-01,Monthly,38,Active,2027-10-01,10000
SIP000415,INV01584,F001,10000,4,2022-04-01,Monthly,41,Cancelled,2025-08-01,5000
SIP000416,INV01377,F002,1000,7,2022-09-01,Monthly,34,Active,2025-06-01,1000
SIP000417,INV01729,F005,500,17,2022-09-01,Monthly,5,Active,2023-01-01,2000
SIP000418,INV01010,F003,2000,27,2024-06-01,Monthly,48,Active,2028-05-01,2000
SIP000419,INV00886,F006,5000,19,2022-04-01,Monthly,30,Active,2024-09-01,5000
SIP000420,INV01783,F010,10000,23,2022-10-01,Monthly,36,Active,2025-09-01,500
SIP000421,INV01247,F008,5000,1,2022-11-01,Monthly,40,Active,2026-02-01,10000
SIP000422,INV00724,F005,10000,20,2022-10-01,Monthly,37,Active,2025-10-01,2000
SIP000423,INV00793,F008,500,1,2024-10-01,Monthly,34,Active,2027-07-01,500
SIP000424,INV00062,F001,3000,14,2025-03-01,Monthly,2,Paused,2025-04-01,2000
SIP000425,INV00795,F002,500,20,2022-02-01,Monthly,26,Active,2024-03-01,5000
SIP000426,INV01335,F008,10000,4,2023-12-01,Monthly,37,Active,2026-12-01,1000
SIP000427,INV01118,F002,1000,14,2024-02-01,Monthly,14,Active,2025-03-01,5000
SIP000428,INV00497,F008,5000,5,2023-04-01,Monthly,44,Active,2026-11-01,10000
SIP000429,INV01658,F003,2000,16,2024-06-01,Quarterly,15,Active,2025-08-01,10000
SIP000430,INV01654,F008,10000,26,2022-01-01,Weekly,33,Active,2024-09-01,1000
SIP000431,INV01496,F006,500,23,2024-09-01,Monthly,20,Active,2026-04-01,10000
SIP000432,INV00387,F003,2000,20,2024-05-01,Monthly,46,Active,2028-02-01,2000
SIP000433,INV01161,F002,2000,16,2022-12-01,Monthly,41,Active,2026-04-01,5000
SIP000434,INV01064,F004,1000,1,2023-10-01,Monthly,34,Active,2026-07-01,5000
SIP000435,INV00881,F002,5000,6,2023-02-01,Monthly,21,Paused,2024-10-01,500
SIP000436,INV00086,F007,3000,10,2023-12-01,Weekly,7,Cancelled,2024-06-01,1000
SIP000437,INV00186,F003,1000,22,2023-01-01,Monthly,28,Cancelled,2025-04-01,10000
SIP000438,INV01145,F004,5000,3,2022-05-01,Weekly,46,Active,2026-02-01,1000
SIP000439,INV00450,F009,500,4,2024-12-01,Monthly,14,Active,2026-01-01,500
SIP000440,INV01123,F001,5000,26,2023-11-01,Monthly,16,Active,2025-02-01,10000
SIP000441,INV00652,F007,3000,9,2024-08-01,Monthly,44,Active,2028-03-01,5000
SIP000442,INV00244,F010,3000,16,2025-06-01,Monthly,21,Cancelled,2027-02-01,500
SIP000443,INV00840,F005,1000,23,2024-09-01,Monthly,33,Active,2027-05-01,5000
SIP000444,INV00799,F009,5000,5,2023-11-01,Monthly,28,Paused,2026-02-01,1000
SIP000445,INV00860,F004,5000,4,2022-10-01,Quarterly,1,Active,2022-10-01,2000
SIP000446,INV00126,F001,500,1,2025-03-01,Monthly,13,Active,2026-03-01,10000
SIP000447,INV00082,F007,5000,7,2025-01-01,Monthly,32,Active,2027-08-01,500
SIP000448,INV00577,F007,3000,7,2024-04-01,Monthly,23,Active,2026-02-01,5000
SIP000449,INV00743,F007,1000,23,2022-10-01,Monthly,37,Paused,2025-10-01,2000
SIP000450,INV01416,F001,3000,15,2022-12-01,Monthly,8,Active,2023-07-01,10000
SIP000451,INV00024,F004,3000,25,2024-04-01,Monthly,36,Active,2027-03-01,1000
SIP000452,INV00384,F008,2000,24,2022-02-01,Monthly,30,Active,2024-07-01,500
SIP000453,INV00110,F003,10000,23,2024-12-01,Quarterly,37,Active,2027-12-01,500
SIP000454,INV00982,F004,500,26,2023-06-01,Monthly,47,Active,2027-04-01,1000
SIP000455,INV01329,F007,3000,20,2023-10-01,Monthly,38,Active,2026-11-01,1000
SIP000456,INV01366,F009,500,15,2022-12-01,Monthly,5,Active,2023-04-01,500
SIP000457,INV00877,F006,2000,23,2022-05-01,Quarterly,14,Paused,2023-06-01,10000
SIP000458,INV00952,F002,2000,5,2025-06-01,Monthly,10,Active,2026-03-01,5000
SIP000459,INV00467,F007,1000,9,2023-09-01,Monthly,38,Active,2026-10-01,10000
SIP000460,INV00316,F001,10000,18,2025-05-01,Monthly,48,Active,2029-04-01,500
SIP000461,INV01021,F007,1000,2,2023-04-01,Quarterly,16,Active,2024-07-01,5000
SIP000462,INV00919,F001,10000,2,2023-04-01,Monthly,10,Active,2024-01-01,500
SIP000463,INV01684,F002,1000,26,2025-05-01,Monthly,12,Active,2026-04-01,1000
SIP000464,INV00918,F010,10000,16,2024-12-01,Monthly,22,Cancelled,2026-09-01,2000
SIP000465,INV01235,F009,5000,12,2023-10-01,Monthly,5,Active,2024-02-01,2000
SIP000466,INV00237,F009,500,1,2023-05-01,Monthly,22,Active,2025-02-01,10000
SIP000467,INV00227,F010,1000,21,2022-12-01,Monthly,8,Active,2023-07-01,500
SIP000468,INV01846,F007,2000,1,2024-11-01,Monthly,13,Paused,2025-11-01,5000
SIP000469,INV01001,F010,2000,26,2023-06-01,Monthly,41,Active,2026-10-01,10000
SIP000470,INV01928,F006,3000,1,2022-11-01,Monthly,12,Active,2023-10-01,5000
SIP000471,INV01695,F004,2000,6,2024-12-01,Quarterly,24,Active,2026-11-01,10000
SIP000472,INV01239,F007,500,26,2023-11-01,Monthly,45,Active,2027-07-01,1000
SIP000473,INV01753,F003,10000,6,2025-02-01,Monthly,16,Active,2026-05-01,1000
SIP000474,INV00674,F004,1000,3,2023-10-01,Quarterly,34,Active,2026-07-01,5000
SIP000475,INV01876,F009,2000,10,2022-11-01,Weekly,4,Active,2023-02-01,1000
SIP000476,INV01838,F002,1000,19,2025-04-01,Weekly,27,Active,2027-06-01,500
SIP000477,INV00266,F006,500,22,2025-03-01,Monthly,13,Active,2026-03-01,5000
SIP000478,INV01755,F009,3000,14,2022-08-01,Quarterly,21,Cancelled,2024-04-01,1000
SIP000479,INV01166,F001,1000,1,2022-10-01,Monthly,44,Active,2026-05-01,2000
SIP000480,INV00845,F010,3000,22,2023-09-01,Monthly,1,Active,2023-09-01,500
SIP000481,INV01492,F003,3000,3,2024-09-01,Monthly,3,Active,2024-11-01,10000
SIP000482,INV00111,F010,1000,17,2024-04-01,Monthly,6,Active,2024-09-01,5000
SIP000483,INV00837,F007,500,19,2022-08-01,Monthly,5,Active,2022-12-01,1000
SIP000484,INV00924,F010,10000,11,2024-12-01,Monthly,11,Active,2025-10-01,5000
SIP000485,INV00416,F008,10000,13,2024-12-01,Quarterly,17,Active,2026-04-01,5000
SIP000486,INV01453,F002,1000,10,2022-05-01,Monthly,32,Active,2024-12-01,5000
SIP000487,INV01000,F004,3000,23,2025-02-01,Monthly,1,Cancelled,2025-02-01,5000
SIP000488,INV00554,F009,5000,12,2024-06-01,Monthly,7,Active,2024-12-01,1000
SIP000489,INV01628,F009,500,17,2025-06-01,Monthly,33,Active,2028-02-01,5000
SIP000490,INV01687,F004,10000,22,2024-04-01,Monthly,47,Active,2028-02-01,10000
SIP000491,INV00322,F001,3000,15,2023-02-01,Quarterly,33,Active,2025-10-01,500
SIP000492,INV00433,F004,500,14,2022-12-01,Monthly,33,Active,2025-08-01,2000
SIP000493,INV00653,F002,1000,4,2024-09-01,Monthly,20,Active,2026-04-01,500
SIP000494,INV01688,F001,10000,14,2023-03-01,Monthly,6,Active,2023-08-01,500
SIP000495,INV01606,F006,500,24,2022-01-01,Monthly,11,Active,2022-11-01,1000
SIP000496,INV00190,F009,2000,13,2023-07-01,Monthly,34,Active,2026-04-01,10000
SIP000497,INV01099,F004,500,13,2024-10-01,Monthly,14,Active,2025-11-01,10000
SIP000498,INV00219,F009,10000,3,2022-04-01,Monthly,27,Active,2024-06-01,1000
SIP000499,INV01866,F005,1000,12,2022-01-01,Quarterly,41,Paused,2025-05-01,5000
SIP000500,INV01773,F006,500,18,2024-09-01,Monthly,19,Active,2026-03-01,1000
SIP000501,INV01337,F008,5000,15,2022-10-01,Quarterly,37,Paused,2025-10-01,2000
SIP000502,INV01360,F007,1000,2,2024-10-01,Monthly,45,Active,2028-06-01,2000
SIP000503,INV00855,F009,1000,26,2024-11-01,Monthly,37,Active,2027-11-01,5000
SIP000504,INV00355,F006,5000,1,2022-04-01,Monthly,36,Active,2025-03-01,10000
SIP000505,INV01880,F006,10000,25,2024-10-01,Quarterly,10,Active,2025-07-01,2000
SIP000506,INV00916,F006,10000,16,2022-05-01,Monthly,6,Active,2022-10-01,2000
SIP000507,INV01462,F004,5000,26,2025-04-01,Monthly,22,Cancelled,2027-01-01,1000
SIP000508,INV00689,F003,10000,11,2024-11-01,Monthly,24,Active,2026-10-01,2000
SIP000509,INV00096,F008,2000,25,2023-06-01,Monthly,31,Active,2025-12-01,5000
SIP000510,INV00463,F003,1000,13,2024-10-01,Monthly,27,Paused,2026-12-01,500
SIP000511,INV01829,F002,10000,17,2023-02-01,Monthly,35,Active,2025-12-01,10000
SIP000512,INV00396,F004,5000,12,2023-10-01,Monthly,7,Paused,2024-04-01,10000
SIP000513,INV00962,F006,3000,25,2024-11-01,Quarterly,2,Active,2024-12-01,10000
SIP000514,INV00593,F007,5000,9,2024-03-01,Monthly,23,Active,2026-01-01,1000
SIP000515,INV01299,F003,500,13,2023-07-01,Monthly,30,Active,2025-12-01,5000
SIP000516,INV01948,F008,1000,28,2024-04-01,Monthly,34,Active,2027-01-01,2000
SIP000517,INV01082,F002,2000,14,2024-10-01,Monthly,38,Active,2027-11-01,5000
SIP000518,INV00198,F002,2000,19,2023-05-01,Weekly,39,Active,2026-07-01,1000
SIP000519,INV00848,F008,2000,27,2022-11-01,Quarterly,35,Active,2025-09-01,500
SIP000520,INV00193,F005,500,2,2022-11-01,Monthly,5,Active,2023-03-01,2000
SIP000521,INV01439,F004,10000,5,2022-10-01,Monthly,48,Active,2026-09-01,10000
SIP000522,INV00811,F010,1000,22,2024-08-01,Quarterly,30,Active,2027-01-01,500
SIP000523,INV01127,F001,5000,26,2024-02-01,Monthly,11,Active,2024-12-01,5000
SIP000524,INV00565,F004,2000,13,2025-02-01,Monthly,21,Paused,2026-10-01,5000
SIP000525,INV00268,F001,1000,23,2024-05-01,Monthly,17,Active,2025-09-01,10000
SIP000526,INV00498,F006,10000,19,2024-02-01,Monthly,11,Cancelled,2024-12-01,5000
SIP000527,INV01665,F003,5000,14,2023-10-01,Monthly,7,Active,2024-04-01,1000
SIP000528,INV01213,F004,5000,16,2023-11-01,Quarterly,46,Paused,2027-08-01,10000
SIP000529,INV01275,F003,3000,4,2023-10-01,Monthly,48,Paused,2027-09-01,10000
SIP000530,INV01389,F003,1000,1,2025-02-01,Monthly,45,Paused,2028-10-01,1000
SIP000531,INV01648,F003,1000,24,2025-02-01,Monthly,28,Active,2027-05-01,10000
SIP000532,INV01242,F002,3000,2,2024-11-01,Monthly,5,Active,2025-03-01,2000
SIP000533,INV01345,F009,3000,2,2024-02-01,Monthly,5,Paused,2024-06-01,500
SIP000534,INV00739,F003,5000,5,2022-08-01,Monthly,39,Active,2025-10-01,10000
SIP000535,INV00992,F007,1000,17,2023-03-01,Monthly,36,Active,2026-02-01,5000
SIP000536,INV00798,F009,5000,9,2024-02-01,Monthly,18,Active,2025-07-01,1000
SIP000537,INV01349,F002,2000,15,2022-09-01,Monthly,24,Paused,2024-08-01,10000
SIP000538,INV00083,F006,5000,19,2023-09-01,Monthly,34,Active,2026-06-01,10000
SIP000539,INV01646,F006,2000,6,2023-05-01,Monthly,48,Paused,2027-04-01,1000
SIP000540,INV00242,F002,2000,23,2023-08-01,Monthly,35,Active,2026-06-01,1000
SIP000541,INV01587,F007,2000,12,2025-03-01,Monthly,44,Active,2028-10-01,2000
SIP000542,INV01463,F006,500,8,2022-06-01,Monthly,41,Active,2025-10-01,2000
SIP000543,INV00561,F006,1000,26,2022-10-01,Monthly,36,Active,2025-09-01,10000
SIP000544,INV00081,F001,1000,22,2023-11-01,Quarterly,20,Cancelled,2025-06-01,2000
SIP000545,INV01644,F001,500,13,2023-02-01,Monthly,32,Paused,2025-09-01,1000
SIP000546,INV01005,F001,1000,21,2025-05-01,Monthly,48,Active,2029-04-01,5000
SIP000547,INV00419,F010,2000,10,2022-10-01,Quarterly,40,Active,2026-01-01,2000
SIP000548,INV01302,F002,2000,3,2022-09-01,Weekly,31,Cancelled,2025-03-01,2000
SIP000549,INV01234,F006,5000,21,2024-10-01,Monthly,20,Cancelled,2026-05-01,5000
SIP000550,INV00054,F005,2000,7,2022-01-01,Monthly,31,Active,2024-07-01,10000
SIP000551,INV01057,F006,3000,26,2025-06-01,Monthly,6,Active,2025-11-01,10000
SIP000552,INV01144,F003,1000,11,2023-07-01,Monthly,42,Paused,2026-12-01,5000
SIP000553,INV01633,F002,2000,15,2024-08-01,Monthly,9,Paused,2025-04-01,10000
SIP000554,INV00725,F006,5000,18,2024-05-01,Monthly,41,Active,2027-09-01,2000
SIP000555,INV01930,F010,1000,23,2024-10-01,Monthly,1,Active,2024-10-01,10000
SIP000556,INV00013,F004,3000,3,2023-06-01,Monthly,31,Active,2025-12-01,500
SIP000557,INV00423,F002,2000,1,2025-04-01,Monthly,34,Paused,2028-01-01,5000
SIP000558,INV00066,F001,500,18,2022-02-01,Quarterly,24,Paused,2024-01-01,1000
SIP000559,INV00785,F007,3000,23,2022-07-01,Quarterly,2,Paused,2022-08-01,5000
SIP000560,INV00032,F010,2000,21,2024-03-01,Monthly,41,Active,2027-07-01,2000
SIP000561,INV01176,F008,500,13,2024-10-01,Monthly,15,Paused,2025-12-01,1000
SIP000562,INV00347,F010,3000,8,2022-06-01,Monthly,36,Active,2025-05-01,10000
SIP000563,INV01107,F007,2000,16,2024-12-01,Monthly,14,Active,2026-01-01,10000
SIP000564,INV00221,F003,5000,22,2024-03-01,Monthly,27,Active,2026-05-01,1000
SIP000565,INV01255,F006,3000,6,2022-12-01,Quarterly,22,Active,2024-09-01,5000
SIP000566,INV01228,F008,10000,3,2024-04-01,Monthly,27,Active,2026-06-01,500
SIP000567,INV00451,F009,5000,7,2025-02-01,Monthly,45,Active,2028-10-01,2000
SIP000568,INV01031,F002,5000,26,2025-01-01,Monthly,29,Active,2027-05-01,1000
SIP000569,INV00448,F005,3000,1,2024-12-01,Monthly,11,Active,2025-10-01,500
SIP000570,INV00665,F005,3000,24,2022-02-01,Quarterly,17,Active,2023-06-01,500
SIP000571,INV01856,F003,10000,22,2023-01-01,Monthly,33,Paused,2025-09-01,500
SIP000572,INV00056,F008,3000,14,2022-11-01,Monthly,39,Cancelled,2026-01-01,5000
SIP000573,INV00534,F004,1000,26,2023-12-01,Monthly,25,Active,2025-12-01,2000
SIP000574,INV00912,F001,10000,18,2022-03-01,Quarterly,17,Active,2023-07-01,1000
SIP000575,INV00971,F002,2000,3,2023-01-01,Monthly,19,Active,2024-07-01,1000
SIP000576,INV00967,F005,500,9,2024-07-01,Monthly,40,Paused,2027-10-01,1000
SIP000577,INV01963,F005,5000,21,2024-02-01,Monthly,8,Active,2024-09-01,2000
SIP000578,INV01567,F003,2000,19,2024-12-01,Monthly,36,Paused,2027-11-01,10000
SIP000579,INV01115,F010,1000,25,2022-01-01,Monthly,30,Cancelled,2024-06-01,10000
SIP000580,INV00564,F001,500,18,2023-04-01,Monthly,48,Active,2027-03-01,1000
SIP000581,INV01972,F001,10000,17,2022-04-01,Monthly,36,Cancelled,2025-03-01,5000
SIP000582,INV01190,F003,3000,17,2023-08-01,Monthly,19,Active,2025-02-01,1000
SIP000583,INV00010,F008,5000,15,2024-01-01,Monthly,35,Active,2026-11-01,2000
SIP000584,INV00484,F003,500,27,2025-05-01,Monthly,2,Paused,2025-06-01,5000
SIP000585,INV01387,F009,1000,22,2023-10-01,Quarterly,40,Cancelled,2027-01-01,5000
SIP000586,INV00865,F001,1000,23,2024-02-01,Monthly,25,Active,2026-02-01,5000
SIP000587,INV01287,F007,10000,8,2024-10-01,Monthly,43,Active,2028-04-01,1000
SIP000588,INV00286,F002,10000,4,2022-05-01,Monthly,25,Active,2024-05-01,1000
SIP000589,INV01958,F003,10000,11,2023-10-01,Weekly,12,Active,2024-09-01,500
SIP000590,INV00230,F002,10000,22,2023-04-01,Monthly,35,Active,2026-02-01,5000
SIP000591,INV00288,F005,500,27,2024-02-01,Monthly,45,Active,2027-10-01,2000
SIP000592,INV00408,F003,5000,7,2022-09-01,Monthly,13,Active,2023-09-01,10000
SIP000593,INV01304,F002,5000,22,2024-05-01,Quarterly,28,Cancelled,2026-08-01,5000
SIP000594,INV00826,F005,10000,16,2022-06-01,Quarterly,29,Active,2024-10-01,2000
SIP000595,INV01408,F009,10000,23,2024-05-01,Monthly,43,Active,2027-11-01,2000
SIP000596,INV01576,F010,1000,26,2022-08-01,Monthly,34,Active,2025-05-01,500
SIP000597,INV00483,F005,2000,4,2023-07-01,Monthly,22,Active,2025-04-01,10000
SIP000598,INV00878,F010,500,2,2023-11-01,Monthly,29,Active,2026-03-01,5000
SIP000599,INV01884,F004,3000,21,2023-09-01,Monthly,3,Active,2023-11-01,10000
SIP000600,INV01327,F006,10000,6,2024-07-01,Weekly,19,Active,2026-01-01,500
